# FFV Event Script Names (Events 0-499)
# Generated from ROM dialog text analysis + map-name fallback
# Naming priority: Dialog text > Subroutine dialog > Shop/Inn > Map name > Content
# Format: Event# | SNES Address | Size | Name

 453 | $C91549 |    25B | [party_action]
 454 | $C91562 |    25B | [party_action]
 455 | $C9157B |    25B | [party_action]
 456 | $C91594 |    29B | [party_action]
 457 | $C915B1 |    29B | [party_action]
 458 | $C915CE |    29B | [party_action]
 459 | $C915EB |    29B | [party_action]
 460 | $C91608 |    29B | [party_action]
 461 | $C91625 |     8B | [party_action]
 462 | $C9162D |     8B | [party_action]
 463 | $C91635 |    15B | [party_action]
 464 | $C91644 |    15B | [party_action]
 465 | $C91653 |    15B | [party_action]
 466 | $C91662 |    15B | [party_action]
 467 | $C91671 |    15B | [party_action]
 468 | $C91680 |    23B | [party_action]
 469 | $C91697 |    23B | [party_action]
 470 | $C916AE |    23B | [party_action]
 471 | $C916C5 |    23B | [party_action]
 472 | $C916DC |    23B | [party_action]
 473 | $C916F3 |    23B | [party_action]
 474 | $C9170A |    23B | [party_action]
 475 | $C91721 |     9B | [party_action]
 476 | $C9172A |     9B | [party_action]
 477 | $C91733 |    18B | call(479): "Lenna: Are you all right? Old Ma"
 478 | $C91745 |    15B | call(479): "Lenna: Are you all right? Old Ma"
 479 | $C91754 |   234B | "Lenna: Are you all right? Old Ma"
 480 | $C9183E |    62B | [obj_action, party_action]
 481 | $C9187C |   103B | [obj_action]
 482 | $C918E3 |    23B | [call(483), call(484), obj_action]
 483 | $C918FA |    27B | [obj_action]
 484 | $C91915 |   502B | [unknown]
 485 | $C91B0B |    26B | [obj_action]
 486 | $C91B25 |     8B | [unknown]
 487 | $C91B2D |    63B | "Cid: Were you really swallowed i"
 488 | $C91B6C |    21B | [obj_action]
 489 | $C91B81 |     4B | call(1159): NPC: "Obtained !"
 490 | $C91B85 |     4B | call(1160): NPC: "Obtained !"
 491 | $C91B89 |     4B | call(1161): NPC: "Obtained !"
 492 | $C91B8D |     4B | call(1162): NPC: "Obtained !"
 493 | $C91B91 |     4B | call(1163): NPC: "Obtained !"
 494 | $C91B95 |    34B | "The power of this Piece of Cryst" (Y/N)
 495 | $C91BB7 |    15B | NPC: "Obtained !"
 496 | $C91BC6 |     8B | NPC: "Can't carry any more items!"
 497 | $C91BCE |    36B | [obj_action, party_action, event_switch]
 498 | $C91BF2 |   120B | [obj_action, fade]
 499 | $C91C6A |    10B | [obj_action, party_action]
