path,verdict,informative_pct,raw_pct,informative_bytes,matched,still_clean,conflict,vacuous,total_bytes,out_of_range,expanded_area,alignment_delta,uninstall_patch,md5,duplicate_of_paths
FFV inu patches (2008 - 2010)\bugfixes\ff5_three_images.ips,ABSENT,0.0%,1.2%,170,0,170,0,2,172,0,0,0,,c82be27a494ea08f29d5b5b4742ce846,
FFV inu patches (2008 - 2010)\bugfixes\ff5_twinlance.ips,ABSENT,0.0%,3.5%,109,0,109,0,4,113,0,0,0,,15d83c1ab8447dfb6872aee2cb22f670,
FFV inu patches (2008 - 2010)\bugfixes\ff5_two_handed.ips,ABSENT,0.0%,1.4%,140,0,140,0,2,142,0,0,0,,b062a9591985e509d865d0be71766d0b,
FFV inu patches (2008 - 2010)\bugfixes\ff5_unequip_freeze.ips,ABSENT,0.0%,0.0%,7,0,0,7,0,7,0,0,0,,3b2545da3b3a551c39f3a188d1b8427b,
FFV inu patches (2008 - 2010)\bugfixes\ff5_uptempo_freeze.ips,ABSENT,0.0%,6.9%,27,0,27,0,2,29,0,0,0,,d2b3d2433f7911f1373e9d6aaa0779bc,
FFV inu patches (2008 - 2010)\bugfixes\ff5_weak_category.ips,ABSENT,0.0%,3.0%,128,0,128,0,4,132,0,0,0,,5d08c989969e5655a4e1291b7b5c1e41,
FFV inu patches (2008 - 2010)\bugfixes\ff5_weapon_change_counter.ips,ABSENT,0.0%,5.0%,57,0,57,0,3,60,0,0,0,,0977e4f5ae4236e2e15b5bde5e8c25b2,
FFV inu patches (2008 - 2010)\bugfixes\ff5_x-redirect.ips,ABSENT,0.0%,0.0%,2,0,2,0,0,2,0,0,0,,3e1619c16fa743c1e28cc3d36463a5e2,
FFV inu patches (2008 - 2010)\bugfixes\ff5_zombie_breath.ips,ABSENT,0.0%,11.1%,8,0,8,0,1,9,0,0,-512,,3b3dfc30e6d2bc9594314da8c8976ccc,
FFV inu patches (2008 - 2010)\bugfixes\ff5_zombie_catch.ips,ABSENT,0.0%,0.0%,1,0,1,0,0,1,0,0,0,,a67a028e9ddfbd90e5a6d52b98ca994e,
FFV inu patches (2008 - 2010)\bugfixes\ff5_zombie_freeze.ips,ABSENT,0.0%,5.5%,120,0,120,0,7,127,0,0,0,,7be74da202d4415e8a80d9c3844ca8d4,
FFV inu patches (2008 - 2010)\bugfixes\ff5_zombie_powder.ips,ABSENT,0.0%,5.9%,16,0,16,0,1,17,0,0,0,,5f2b25db951dd86e0c37222aa7d25a1f,
FFV inu patches (2008 - 2010)\ff5_swdslap_standalone by RoSoDude.ips,APPLIED,100.0%,100.0%,106,106,0,0,6,112,0,0,0,,7a229fd9283088c9300eb9e2e02d664d,
FFV inu patches (2008 - 2010)\improve\ff5_ability_menu --- what does this do.ips,ABSENT,0.0%,2.1%,47,0,47,0,1,48,0,0,0,,a0f1da018eeb457c33c292bfbd202e42,
FFV inu patches (2008 - 2010)\improve\ff5_atb_switch (aka X button swap).ips,APPLIED,100.0%,100.0%,265,265,0,0,18,283,0,0,0,,0113e4e308cfa93247e92ac2bcafa857,
FFV inu patches (2008 - 2010)\improve\ff5_dash_gba.ips,PARTIAL,15.8%,17.9%,38,6,0,32,1,39,0,0,0,,b6259980eef02e5392ef247dde97c40c,
FFV inu patches (2008 - 2010)\improve\ff5_dash_ps.ips,APPLIED,100.0%,100.0%,39,39,0,0,0,39,0,0,0,,85fd5b0eb4b823b86cc4fa68bf5e0ed1,
FFV inu patches (2008 - 2010)\improve\ff5_fast_menu_scroll.ips,APPLIED,100.0%,100.0%,26,26,0,0,13,39,0,0,0,,52049cd3781ef50f7033ee545b573982,
FFV inu patches (2008 - 2010)\improve\ff5_fast_nothing.ips,ABSENT,0.0%,0.0%,16,0,16,0,0,16,0,0,0,,2b4eaee6f7a00afc5aaab540219832df,
FFV inu patches (2008 - 2010)\improve\ff5_fast_nothing_old.ips,ABSENT,0.0%,3.5%,139,0,139,0,5,144,0,0,0,,2ab200447aa555eea08c9cf9be5857a7,
FFV inu patches (2008 - 2010)\improve\ff5_field_dash.ips,ABSENT,0.0%,1.4%,73,0,73,0,1,74,0,0,-512,,cc6d93d4c2c0e744ce9e69f29f01504b,
FFV inu patches (2008 - 2010)\improve\ff5_flee.ips,APPLIED,100.0%,100.0%,84,84,0,0,1,85,0,0,0,,bf35fbb36e59bbc9df4fb7108f62385a,
FFV inu patches (2008 - 2010)\improve\ff5_font_punctuation --- try this asap.ips,PARTIAL,48.7%,56.0%,150,73,9,68,25,175,0,0,-512,,dca2d01356e9fd03f54e56a3fbd552a0,
FFV inu patches (2008 - 2010)\improve\ff5_hp_color.ips,APPLIED,100.0%,100.0%,63,63,0,0,6,69,0,0,0,,2fbd5b793e182aef4b50e29f9ea65791,
FFV inu patches (2008 - 2010)\improve\ff5_item_menu.ips,APPLIED,100.0%,100.0%,107,107,0,0,11,118,0,0,0,,eb880f66d756cd5efa34ad1f29a729f5,
FFV inu patches (2008 - 2010)\improve\ff5_items_total.ips,APPLIED,100.0%,100.0%,79,79,0,0,4,83,0,0,0,,e72d65bc181923b5485729f349cd74f6,
FFV inu patches (2008 - 2010)\improve\ff5_kiss_of_blessing.ips,PARTIAL,51.6%,51.6%,31,16,0,15,0,31,0,0,0,,d0da1db7850786b49fb6e39491936970,
FFV inu patches (2008 - 2010)\improve\ff5_lr_menu-1.0.ips,APPLIED,100.0%,100.0%,2889,2889,0,0,115,3004,0,0,0,,88e888c13124138552d28f11af92e625,
FFV inu patches (2008 - 2010)\improve\ff5_lv5_death.ips,ABSENT,0.0%,6.2%,15,0,15,0,1,16,0,0,0,,0712e32e0532293f0a3c428a79af11cc,
FFV inu patches (2008 - 2010)\improve\ff5_player_name.ips,ABSENT,1.6%,4.5%,64,1,41,22,2,66,0,0,-512,,80d4011c2d8b5067a0b0c76ffa806478,
FFV inu patches (2008 - 2010)\improve\ff5_sort.ips,APPLIED,98.1%,98.1%,154,151,0,3,3,157,0,0,0,,d59ebb539ebc3c7c74270c7e21b3e8b2,
FFV inu patches (2008 - 2010)\improve\ff5_sortplus.ips,PARTIAL,10.8%,20.4%,166,18,19,129,20,186,0,0,0,,70777a70d6152ee15a3efb2bd2331aa1,
FFV inu patches (2008 - 2010)\improve\ff5_steal3x.ips,ABSENT,3.9%,5.3%,258,10,154,94,4,262,0,0,-512,,c8be5234fdfafbbb53b40005e23d9bee,
FFV inu patches (2008 - 2010)\improve\ff5_sword_dance.ips,APPLIED,100.0%,100.0%,96,96,0,0,7,103,0,0,0,,ee7989525ab9229dd974517ea906e17c,
FFV inu patches (2008 - 2010)\improve\tactical Berserk\ff5_berserk_command.ips,APPLIED,100.0%,100.0%,53,53,0,0,0,53,0,0,0,,5400c07ab6eb84a8f824256d1605b196,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_ability_menu.ips,NO-OP,-,100.0%,0,0,0,0,48,48,0,0,0,yes,f3152b137ebc6fae357ff37c95815761,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_atomos_wormhole.ips,NO-OP,-,100.0%,0,0,0,0,7,7,0,0,0,yes,30e750dba17a550847f2fc0bc9204281,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_auto_jump.ips,NO-OP,-,100.0%,0,0,0,0,31,31,0,0,0,yes,83dc70de40d0bedf28f93c90dd497914,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_berserk_jump.ips,NO-OP,-,100.0%,0,0,0,0,51,51,0,0,0,yes,d4eeb4a42818fa0181b048c60cc10db5,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_butz_blue_mage_gfx.ips,NO-OP,-,100.0%,0,0,0,0,64,64,0,0,0,yes,7a5cbf32208ad0ff24cdb876f1534a84,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_check.ips,NO-OP,-,100.0%,0,0,0,0,1,1,0,0,0,yes,1bd8b2c478ece86cdb6b95d5329f1f89,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_chemist_ending.ips,NO-OP,-,100.0%,0,0,0,0,3,3,0,0,0,yes,279176099e62dbd032bb5c3be051ac68,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_condemned.ips,NO-OP,-,100.0%,0,0,0,0,81,81,0,0,0,yes,2bd8da850c3a6076682f5a9441fc0061,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_core-1.6.ips,ABSENT,0.0%,99.4%,8,0,8,0,1438,1446,0,0,0,yes,61317f670925345d721d6e8f1f7ddc14,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_counter.ips,NO-OP,-,100.0%,0,0,0,0,2,2,0,0,0,yes,29aa1df7b04dc57e04599061b9716973,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_damage_overflow.ips,NO-OP,-,100.0%,0,0,0,0,26,26,0,0,0,yes,bc32393b8c3efd9f3391923bcf89583e,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_damage_overflow_mp.ips,NO-OP,-,100.0%,0,0,0,0,72,72,0,0,0,yes,2aab5926e3c92a6745e271207f329e5c,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_darkbow.ips,NO-OP,-,100.0%,0,0,0,0,7,7,0,0,0,yes,9345494e6f2a04013d976504f7784b11,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_dash.ips,NO-OP,-,100.0%,0,0,0,0,49,49,0,0,0,yes,73f8607081ef83e2fa47c45c20ef633d,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_dead_aegis_shield.ips,ABSENT,4.2%,4.2%,24,1,0,23,0,24,0,0,-512,yes,963beb0f72e2337081eaf4b72977880c,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_escape.ips,NO-OP,-,100.0%,0,0,0,0,5,5,0,0,0,yes,d5d69aba932c69e3fb5a56ced401b4e5,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_evade_animation.ips,NO-OP,-,100.0%,0,0,0,0,88,88,0,0,0,yes,6ea6b8947c7ca02ec2ce5eff40416d87,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_evade_overflow.ips,NO-OP,-,100.0%,0,0,0,0,61,61,0,0,0,yes,166e06e7f8dd0e539e711b65faa2ceee,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_ext-1.2.ips,NO-OP,-,100.0%,0,0,0,0,627,627,0,0,0,yes,79a64cfc79eda05beaf0f6555465413a,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_fast_nothing.ips,ABSENT,0.0%,0.0%,16,0,16,0,0,16,0,0,0,yes,5999fd047475b79a6b6afbebe9cb734a,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_fast_nothing_old.ips,NO-OP,-,100.0%,0,0,0,0,144,144,0,0,0,yes,84f430636c518d30d765f4d46ef6812d,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_gaiahammer.ips,NO-OP,-,100.0%,0,0,0,0,14,14,0,0,0,yes,b84b74a21b338d6e00b2162ada4d0173,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_giantdrink_enemy.ips,NO-OP,-,100.0%,0,0,0,0,39,39,0,0,0,yes,8f80f1d1057a081f3c8a7158c6f6ebe2,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_golem.ips,NO-OP,-,100.0%,0,0,0,0,9,9,0,0,0,yes,09df86a50add2c20dfe1750e0db2c210,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_hide_escape.ips,NO-OP,-,100.0%,0,0,0,0,51,51,0,0,0,yes,dd13fb1f3398ecf7f7be12744c3224a8,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_hide_reveal.ips,NO-OP,-,100.0%,0,0,0,0,19,19,0,0,0,yes,c0a3bc2d1c1993412989d88cc6c58287,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_hp_leak_counter.ips,NO-OP,-,100.0%,0,0,0,0,26,26,0,0,0,yes,3b83e62cc9da2766502cd5fc9818af0e,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_hp_leak_down.ips,NO-OP,-,100.0%,0,0,0,0,6,6,0,0,0,yes,d3b81c0fc00c3cb8ac59cb3f8fb97eef,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_ineffective.ips,NO-OP,-,100.0%,0,0,0,0,13,13,0,0,0,yes,e953b49f22ec0b6c1555afb83419020c,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_infinite_items.ips,NO-OP,-,100.0%,0,0,0,0,1,1,0,0,0,yes,4d85092f7ae67c5383bf914f9a4a80f8,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_item_delay.ips,NO-OP,-,100.0%,0,0,0,0,17,17,0,0,0,yes,43d6dc2016dac9b275bc95b5239f6838,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_item_evade.ips,ABSENT,0.0%,9.1%,10,0,10,0,1,11,0,0,0,yes,94ddeaf758eaa699b1222714dce0a3d7,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_item_menu.ips,NO-OP,-,100.0%,0,0,0,0,118,118,0,0,0,yes,d2d970ea6428a40ce48596e4ee5ef29c,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_item_stat_bonus.ips,NO-OP,-,100.0%,0,0,0,0,40,40,0,0,0,yes,11036906453a54dc4330b4fa6219bcdb,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_item_transform.ips,NO-OP,-,100.0%,0,0,0,0,11,11,0,0,0,yes,9e812133913b35a813fe3d91776fbbb2,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_item_weight.ips,ABSENT,0.0%,0.0%,19,0,19,0,0,19,0,0,0,yes,0bee25a988a383295d74a9aa85380c00,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_kiss_of_blessing.ips,NO-OP,-,100.0%,0,0,0,0,31,31,0,0,0,yes,63a972a135516314490f8a0eb0ce316d,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_learning.ips,NO-OP,-,100.0%,0,0,0,0,199,199,0,0,0,yes,e6463079706da84e04907e432182ad79,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_lv5_death.ips,NO-OP,-,100.0%,0,0,0,0,16,16,0,0,0,yes,22acdf12448b18d4cf4da61cc9ffc074,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_magical_weapon.ips,NO-OP,-,100.0%,0,0,0,0,14,14,0,0,0,yes,756d8e6fdecce307ecec36ff1b9bd753,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_magicshell.ips,NO-OP,-,100.0%,0,0,0,0,149,149,0,0,0,yes,d5e066facd661e86ce5dbdbf0b71f1a8,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_magicshell_fast.ips,ABSENT,0.0%,3.3%,89,0,89,0,3,92,0,0,0,yes,5f9ff967719bf58e335020efd789a176,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_magicshell_group.ips,ABSENT,0.0%,50.0%,1,0,1,0,1,2,0,0,-512,yes,08476e79e4f0c9a1ca9da1dd9d3b2863,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_magicshell_reflect.ips,ABSENT,0.0%,0.0%,2,0,2,0,0,2,0,0,0,yes,2802003a948b813ffc2be978a496994a,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_mimic_blank.ips,ABSENT,0.0%,0.0%,5,0,5,0,0,5,0,0,0,yes,480fb945d962f804bdc0cbcd28639f52,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_mimic_meteor.ips,NO-OP,-,100.0%,0,0,0,0,118,118,0,0,0,yes,d6edebbcd25a3bd4050e70dbdb598180,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_mimic_weapon.ips,ABSENT,0.0%,0.0%,18,0,18,0,0,18,0,0,0,yes,54e504f760a0437d3d378c0548b07cee,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_mini_and_toad.ips,NO-OP,-,100.0%,0,0,0,0,6,6,0,0,0,yes,a2191dea35edb5a3f71a44c0048b0e4f,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_multi_se.ips,NO-OP,-,100.0%,0,0,0,0,1,1,0,0,0,yes,9c997baa05006d9e2200717591cbee37,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_old.ips,NO-OP,-,100.0%,0,0,0,0,60,60,0,0,0,yes,87de3f29cbb7cfc51f0063574f358dca,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_old_timer.ips,NO-OP,-,100.0%,0,0,0,0,12,12,0,0,0,yes,02931e9cceb851aeb0b76bfb0e91591a,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_player_name.ips,ABSENT,0.0%,78.8%,14,0,14,0,52,66,0,0,0,yes,88f6cd83474c5eef79b233533f2e1151,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_possess.ips,NO-OP,-,100.0%,0,0,0,0,1,1,0,0,0,yes,fbd483c2c4a20d1f0a8aaddc1bb4ce6d,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_powerdrink.ips,NO-OP,-,100.0%,0,0,0,0,55,55,0,0,0,yes,54c77078e518c5b651153cbe9ee7165d,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_react_against_all_target.ips,NO-OP,-,100.0%,0,0,0,0,18,18,0,0,0,yes,4ab0adb9362926ee9c301e397adc21d5,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_react_against_reflect.ips,NO-OP,-,100.0%,0,0,0,0,52,52,0,0,0,yes,37b60342861bb1d8da8bdb530080ad90,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_reapply_item_element.ips,ABSENT,0.0%,77.9%,23,0,23,0,81,104,0,0,0,yes,c339d06d6650803994f7f9e8b3939c67,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_reapply_item_immunity.ips,ABSENT,0.0%,0.0%,9,0,9,0,0,9,0,0,0,yes,fd8620359e7763f5fa0e0ce9bdcbdcb6,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_reapply_item_state.ips,NO-OP,-,100.0%,0,0,0,0,71,71,0,0,0,yes,385702c23035588a0b91c37777265256,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_remedy_petrified.ips,NO-OP,-,100.0%,0,0,0,0,1,1,0,0,0,yes,3e2cd80209eb4312b5482afbb2d16313,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_remember.ips,NO-OP,-,100.0%,0,0,0,0,1,1,0,0,0,yes,f150ea14199527cdbfa715ae8b33ea81,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_return.ips,NO-OP,-,100.0%,0,0,0,0,61,61,0,0,0,yes,d8cdf9af5cf702288a00b5f618f2676a,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_return_se.ips,NO-OP,-,100.0%,0,0,0,0,1,1,0,0,0,yes,47ae7abc2fcaa24ccd3be812bb140304,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_roulette.ips,NO-OP,-,100.0%,0,0,0,0,105,105,0,0,0,yes,06bc06b22627f0757e01bbc47dab8ad5,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_sandworm.ips,NO-OP,-,100.0%,0,0,0,0,25,25,0,0,0,yes,263eaf8f43d09349045ad739c71b6ff4,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_song.ips,NO-OP,-,100.0%,0,0,0,0,51,51,0,0,0,yes,963635fcb79700ec642d063bc1975683,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_sort.ips,NO-OP,-,100.0%,0,0,0,0,157,157,0,0,0,yes,240a5727c5cd2ac05248f5c36b8f0dec,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_specialty.ips,NO-OP,-,100.0%,0,0,0,0,125,125,0,0,0,yes,6f6ce3ed2ba58191c0887e57be75da30,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_spellblade_osmose.ips,NO-OP,-,100.0%,0,0,0,0,20,20,0,0,0,yes,783387b8a77bf25dd6a62a33d7ca54ae,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_stuck_bug.ips,NO-OP,-,100.0%,0,0,0,0,99,99,0,0,0,yes,40d1bb4de8d94b652ae9816c397ffa5d,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_stuck_teleport.ips,NO-OP,-,100.0%,0,0,0,0,14,14,0,0,0,yes,38a1eb4c226ac0417d3996f897b64016,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_swdslap.ips,ABSENT,0.0%,6.1%,31,0,2,29,2,33,0,0,0,yes,c2f6ecab6757b608d7b3ccdce785cd35,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_target_meteor.ips,NO-OP,-,100.0%,0,0,0,0,2,2,0,0,0,yes,0853d00e3059d79163f3c78bc93369db,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_three_images.ips,NO-OP,-,100.0%,0,0,0,0,172,172,0,0,0,yes,cc1da4dfe4af8da0c08c5847ef9ee261,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_twinlance.ips,NO-OP,-,100.0%,0,0,0,0,113,113,0,0,0,yes,cbe432ef73abeb3326c5cd4e20e41678,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_two_handed.ips,NO-OP,-,100.0%,0,0,0,0,142,142,0,0,0,yes,69bc8fa3cffe0cb6999f6826058d7c5f,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_unequip_freeze.ips,NO-OP,-,100.0%,0,0,0,0,7,7,0,0,0,yes,945d241e86f3f60a7ab617824b14b4bf,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_uptempo_freeze.ips,NO-OP,-,100.0%,0,0,0,0,29,29,0,0,0,yes,c87650e62503d40bdad4cffe98862cde,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_weak_category.ips,NO-OP,-,100.0%,0,0,0,0,132,132,0,0,0,yes,02f268fcbff2495dc12b62a216bd11e3,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_weapon_change_counter.ips,NO-OP,-,100.0%,0,0,0,0,60,60,0,0,0,yes,384d32f067efbd28e216cd038d85fc9a,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_x-redirect.ips,NO-OP,-,100.0%,0,0,0,0,2,2,0,0,0,yes,393ba6082c206c95d6cd220645a32c62,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_zombie_breath.ips,NO-OP,-,100.0%,0,0,0,0,9,9,0,0,0,yes,1d34c82f3a5712ded2e8cfab09fa0eb8,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_zombie_catch.ips,NO-OP,-,100.0%,0,0,0,0,1,1,0,0,0,yes,b85dd0712ffec031fe1f59932a195616,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_zombie_freeze.ips,NO-OP,-,100.0%,0,0,0,0,127,127,0,0,0,yes,53649e74800aef6b259cda80a7719c35,
FFV inu patches (2008 - 2010)\uninstall\anti_ff5_zombie_powder.ips,NO-OP,-,100.0%,0,0,0,0,17,17,0,0,0,yes,63c40226c233767ec61ec380a54d0c18,
FFV inu patches (2008 - 2010)\updates\ff5_core-1.4_to_1.5.ips,APPLIED,100.0%,100.0%,430,430,0,0,11,441,0,0,0,,690cb23e84446e9c449626735c0c9290,
FFV inu patches (2008 - 2010)\updates\ff5_core-1.5_to_1.6+monsters_magic_point+reapply_item_immunity.ips,ABSENT,0.0%,14.8%,341,0,341,0,59,400,0,0,0,,d9abeff40ea1f32410b24f05e409ff40,
FFV inu patches (2008 - 2010)\updates\ff5_core-1.5_to_1.6+monsters_magic_point.ips,ABSENT,0.0%,14.8%,341,0,341,0,59,400,0,0,0,,dac9199d3c5b1f5011fc3009a32c5a5f,
FFV inu patches (2008 - 2010)\updates\ff5_core-1.5_to_1.6+reapply_item_immunity.ips,ABSENT,0.0%,2.6%,375,0,375,0,10,385,0,0,0,,0346cd81991b7013d8c759c40b247f53,
FFV inu patches (2008 - 2010)\updates\ff5_core-1.6_to_1.7.ips,ABSENT,0.0%,10.2%,194,0,194,0,22,216,0,0,0,,bfa15c5983bfe32e82ebfdf6e7856e13,
FFV inu patches (2008 - 2010)\updates\ff5_ext-1.0_to_1.1.ips,ABSENT,0.0%,6.1%,62,0,62,0,4,66,0,0,0,,62bd74a86c79ccd825cb9d3973dceaf2,
FFV inu patches (2008 - 2010)\updates\ff5_ext-1.1_to_1.2a.ips,ABSENT,0.0%,7.2%,285,0,285,0,22,307,0,0,0,,3dcacfa9125fe885cf80fb7556e188cb,
mine\_FFV Advanced Items v01.ips,ABSENT,1.0%,28.1%,523,5,423,95,197,720,0,0,0,,1ed769536b719a116fabc55d61b9b86a,
mine\_Final Fantasy V J (CRC32 = C1BC267D) Galuf Green Coat on Map.ips,APPLIED,100.0%,100.0%,279,279,0,0,159,438,0,0,0,,c6c872a21a4311aa17f87c55bd84fc86,mine\FFV (CRC32 = C1BC267D) 地図上のガラフの緑のコート.ips
mine\alt Faris MNK+WHM+DRG.ips,ABSENT,0.0%,25.1%,869,0,865,4,291,1160,0,0,0,,26bf5d72d3ab18f878aab32f44af379d,
"mine\Berserker like other Jobs, $029D58-59 into $FF FF (by xJ4cks).ips",ABSENT,0.0%,0.0%,2,0,2,0,0,2,0,0,0,,2ab86baaf0f803749dd1e9b4d4a733ab,
mine\Cleaner Font for FFV+FF5r.ips,PARTIAL,74.6%,80.8%,2896,2159,53,684,951,3847,0,0,0,,026cf0d79e4b0ee1a8e72286ea5327ad,
mine\DualCast for Clean.ips,APPLIED,100.0%,100.0%,7,7,0,0,0,7,0,0,0,,43066af268d1207096e9b12d8ced759f,
mine\FF5r ALT CID.ips,APPLIED,100.0%,100.0%,603,603,0,0,251,854,0,0,0,,0686f1c7c3befb1fefc0acaa6d8a3b5a,mine\FFV ALT CID.ips
"mine\FFV (RPGe) Even Better Weapons, by xJ4cks.ips",ABSENT,0.0%,69.5%,25,0,20,5,57,82,0,0,0,,897f617055cf83ff5b6f77424a1f4cdb,
mine\FFV Clean Krile + Lenna + Bartz.ips,PARTIAL,90.7%,92.5%,27208,24667,1893,648,6882,34090,0,0,0,,887b55912f6dcc0d3bbb8a3bf797d175,
mine\FFV Clean Krile+Lenna.ips,APPLIED,97.1%,97.7%,24457,23736,180,541,6269,30726,0,0,0,,677c9c7f7cd54dff4050d6a8c2f4a161,
mine\FFV Clean Krile.ips,ABSENT,0.0%,36.7%,93,0,93,0,54,147,0,0,0,,c0ecad22c77c73829561896ab85f4110,
mine\FFV ReJobbed Unchibi Krile by xJ4cks.ips,PARTIAL,23.2%,34.0%,25162,5830,3695,15637,4146,29308,0,0,0,,ae70f58db8d86aca79e63e1be7e9c1f9,
mine\FFV RPGe Clean NPCs - xJ4cks.ips,APPLIED,100.0%,100.0%,136815,136809,0,6,3596,140411,0,0,0,,319523007085274f53d68ea8de8d06ed,
mine\FFV RPGe Clean NPCs.ips,APPLIED,100.0%,100.0%,136814,136809,0,5,3596,140410,0,0,0,,f56f83ca5179b2764ac2bf4432e131c4,
mine\FFV RPGe Clean Warriors.ips,PARTIAL,38.2%,92.9%,184135,70341,17151,96643,1421009,1605144,0,1572864,0,,c6f20aa1c24d8f21ae5d5ed040d62119,
"mine\FFV RPGe without 'abc' in Naming Menu, by xJ4cks.ips",APPLIED,100.0%,100.0%,9,9,0,0,12,21,0,0,0,,485e8990847fa635ca34c6bdb0a78505,
mine\FFV(RPGe) Galuf Mimic - xJ4cks.ips,PARTIAL,62.3%,67.3%,1314,818,6,490,202,1516,0,0,0,,19d31df6cd536358b2b6f0a7c298339b,
mine\Final Fantasy V Pantz n Sleeves 4.ips,PARTIAL,84.0%,89.8%,493,414,54,25,283,776,0,0,0,,767b2c9c53ec4dc8004f37f8460e7d21,
mine\Galuf Mime by xJ4cks.ips,PARTIAL,62.7%,67.6%,1318,827,6,485,198,1516,0,0,0,,c4a4527a6a4fbc7d731049605facf5d7,
